sample,n_matches,p_weighted_covered
DRR014176,373,88.1
DRR019507,97,4.3
DRR021939,1,68.0
DRR025071,1069,39.1
DRR033608,26,12.2
DRR042304,585,90.7
DRR042358,237,86.5
DRR042386,307,86.2
DRR042446,303,90.5
DRR042485,764,76.4
DRR042584,116,81.3
DRR042629,553,82.0
DRR042631,273,77.7
DRR046082,389,63.1
DRR046093,362,66.5
DRR046403,152,4.0
DRR046412,585,10.5
DRR046817,2941,8.7
DRR053211,8,2.1
DRR066668,127,70.5
DRR067588,112,5.9
DRR068909,4,77.8
DRR068916,2,54.2
DRR072206,112,71.7
DRR072207,13,56.5
DRR077050,207,54.3
DRR077054,247,60.4
DRR083054,135,22.1
DRR083059,87,11.2
DRR083195,72,22.3
DRR083320,32,47.3
DRR083359,45,22.1
DRR083362,113,8.6
DRR083410,251,31.3
DRR086636,403,26.3
DRR086668,129,73.3
DRR086768,365,17.2
DRR093005,117,46.4
DRR111529,396,59.1
DRR118359,111,66.0
DRR127507,810,93.4
DRR127628,1075,91.2
DRR140129,26,43.6
DRR140132,17,44.3
DRR140134,22,44.2
DRR140137,20,43.5
DRR140145,24,43.8
DRR140147,23,44.4
DRR147671,9,0.2
DRR162197,744,73.8
DRR162274,468,79.8
DRR163691,47,2.6
DRR171553,844,86.5
DRR171644,479,93.4
DRR171677,1414,84.9
DRR171700,698,94.7
DRR171820,1083,89.3
DRR174582,837,85.0
DRR174586,1310,84.0
DRR174611,1055,89.0
DRR179000,2004,34.4
DRR180097,1,25.5
DRR180115,1,58.3
DRR180141,2,5.9
DRR180209,1,95.6
DRR199882,97,39.0
DRR200207,6,3.5
DRR204378,979,2.7
DRR226113,1,3.0
DRR241310,872,74.9
DRR249190,6,37.9
DRR252164,1,50.0
DRR277752,1578,62.3
DRR299360,328,48.7
DRR308850,3,11.2
ERR011088,331,78.6
ERR011131,510,79.9
ERR011199,835,68.3
ERR011210,726,43.6
ERR011306,632,67.4
ERR011312,750,65.6
ERR045128,1,100.0
ERR069128,0,0
ERR091543,81,29.3
ERR092332,2,93.0
ERR1001702,0,0.0
ERR1001760,0,0.0
ERR1001785,0,0.0
ERR1001802,0,0.0
ERR1001835,0,0.0
ERR1001864,0,0.0
ERR1001877,0,0.0
ERR1001879,0,0.0
ERR1013711,88,39.0
ERR1018224,550,90.5
ERR1018253,1160,81.0
ERR1020626,0,0.0
ERR1020671,0,0.0
ERR1020809,0,0
ERR1020832,0,0.0
ERR1020996,0,0.0
ERR1021130,1,71.4
ERR1021165,0,0
ERR1021187,0,0
ERR1021331,0,0.0
ERR1021354,0,0.0
ERR1021380,1,50.0
ERR1021412,0,0
ERR1021453,0,0.0
ERR1021568,0,0.0
ERR1021623,0,0
ERR1022575,0,0.0
ERR1040218,1,50.0
ERR1040396,1,25.0
ERR1045838,22,79.7
ERR1045860,38,81.8
ERR1056261,2,33.3
ERR1056266,1,12.5
ERR1072701,1,100.0
ERR1072711,0,0.0
ERR1072790,0,0.0
ERR1072831,0,0
ERR1072878,0,0
ERR1072932,0,0
ERR1072968,0,0
ERR1072983,1,92.3
ERR1073004,0,0.0
ERR1073029,0,0.0
ERR1073167,0,0.0
ERR1073195,0,0
ERR1073327,1,100.0
ERR1073562,0,0.0
ERR1073602,0,0.0
ERR1073633,3,72.7
ERR1073707,0,0
ERR1073748,0,0
ERR1073849,0,0.0
ERR1073865,0,0
ERR1073907,0,0
ERR1073958,0,0.0
ERR1073961,0,0.0
ERR1074093,0,0.0
ERR1074179,0,0
ERR1074222,1,33.3
ERR1074289,0,0.0
ERR1074397,0,0.0
ERR1074477,0,0.0
ERR1074607,0,0.0
ERR1074624,0,0.0
ERR1074625,1,100.0
ERR1074751,0,0.0
ERR1074856,0,0
ERR1075153,0,0
ERR1075173,0,0
ERR1075471,0,0.0
ERR1075497,0,0.0
ERR1075521,0,0.0
ERR1075641,1,20.0
ERR1075645,0,0
ERR1075772,0,0.0
ERR1075790,0,0.0
ERR1075892,0,0
ERR1076102,2,35.0
ERR1076202,0,0.0
ERR1076258,1,33.3
ERR1076495,1,100.0
ERR1076501,0,0.0
ERR1076743,1,25.0
ERR1076747,0,0.0
ERR1076839,1,27.3
ERR1076842,1,40.0
ERR1077033,0,0.0
ERR1077115,0,0.0
ERR1077277,0,0.0
ERR1077390,0,0.0
ERR1077394,0,0
ERR1077640,0,0.0
ERR1077772,1,30.0
ERR1077877,0,0.0
ERR1077897,0,0.0
ERR1077914,0,0.0
ERR1077920,1,50.0
ERR1078011,0,0.0
ERR1078096,0,0.0
ERR1078147,0,0.0
ERR1078277,21,2.9
ERR1078685,0,0.0
ERR1079977,0,0.0
ERR1080025,0,0.0
ERR1080215,0,0
ERR1083471,1,66.7
ERR1083597,1,25.0
ERR1083740,0,0.0
ERR1083922,0,0.0
ERR1083980,0,0.0
ERR1084932,0,0.0
ERR1084936,0,0
ERR1084955,0,0
ERR1085032,0,0
ERR1085051,1,50.0
ERR1085259,0,0.0
ERR1085597,0,0
ERR1085709,2,0.6
ERR1085731,1,0.8
ERR1085786,0,0.0
ERR1085800,1,92.9
ERR1086173,2,98.5
ERR1086546,1,20.0
ERR1086620,1,89.0
ERR1086829,1,33.3
ERR1086833,0,0.0
ERR1086904,0,0
ERR1086941,0,0
ERR1086961,0,0.0
ERR1087021,2,54.3
ERR1087032,1,81.5
ERR1087208,2,33.3
ERR1087328,3,73.2
ERR1087441,0,0.0
ERR1087488,0,0.0
ERR1087572,1,95.8
ERR1087584,1,99.1
ERR1087625,1,97.9
ERR1087713,1,84.7
ERR1088738,0,0.0
ERR1088792,0,0.0
ERR1088858,0,0.0
ERR1088987,0,0.0
ERR1088999,0,0.0
ERR1089142,0,0.0
ERR1089176,0,0.0
ERR1089416,0,0.0
ERR1089603,1,25.0
ERR1089673,1,50.0
ERR1089809,1,33.3
ERR1089833,0,0.0
ERR1089866,0,0.0
ERR1089894,0,0.0
ERR1090091,0,0.0
ERR1090096,0,0.0
ERR1090113,0,0.0
ERR1090197,0,0.0
ERR1090210,0,0.0
ERR1090224,0,0.0
